google_and_truth_bleu_score,google_and_truth_gleu_score
0.9516433313522539,0.9719626168224299
0.9674122890261669,0.9808917197452229
1.0,1.0
0.948661035297062,0.9702970297029703
0.9427781070492712,0.967032967032967
0.9618164874234068,0.9752066115702479
0.8170258733067174,0.896551724137931
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9440602839389667,0.967741935483871
1.0,1.0
1.0,1.0
1.0,1.0
0.9636162552773174,0.9787234042553191
0.9440602839389667,0.967741935483871
0.9253742688467129,0.9484536082474226
0.8942255541978509,0.9411764705882353
1.0,1.0
1.0,1.0
0.9686391926502761,0.9815950920245399
0.9754238144469,0.9855072463768116
0.924717264280984,0.9562043795620438
0.948661035297062,0.9702970297029703
1.0,1.0
0.9353695731020621,0.9629629629629629
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9534460356445505,0.972972972972973
1.0,1.0
0.9574144657807024,0.9752066115702479
1.0,1.0
0.9364250605898115,0.9384615384615385
1.0,1.0
0.9678317907712601,0.9811320754716981
0.8153551038173115,0.9032258064516129
1.0,1.0
0.9414356817218077,0.9662921348314607
0.954297861697201,0.9734513274336283
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
